sensor_index,name,latitude,longitude,pm2.5_atm
115529,Beckham,37.226063,-121.80426,0.2
115579,BegoBlossom,37.23602,-121.91125,0.8
115951,Wood Acres Rd,37.233604,-122.01291,1.2
116105,Pentz,37.245174,-121.807655,0.0
116111,Lupine Lane,36.995827,-121.98386,3326.6
118457,Burchell Valley,37.02953,-121.640884,1.7
118477,Hawk Ridge Lane,36.994827,-121.757904,0.3
118483,Hillcrest Dr near ACC,37.21427,-121.86768,0.9
118761,Almaden Cabana Club,37.20969,-121.84097,0.9
118815,Sunnyside Road,37.161037,-121.96974,0.0
118953,Lupine Dr,37.054375,-122.02428,0.3
118997,Espana Ct Outside,37.16057,-121.64168,1.2
119009,Copper Peak,37.1979,-121.84282,1.8
119459,Koch and Almaden Expy,37.28226,-121.88352,0.5
119627,Mozart,37.25965,-121.95788,0.5
119721,Gillette Drive,37.15269,-121.975136,0.0
119827,Loma Mar,37.26787,-122.31175,1.3
119935,Curtner &amp; Booksin,37.28319,-121.90406,0.1
120179,Comstock Estates,36.929104,-121.356514,0.0
120313,1943 Redwood Dr,37.003704,-121.90143,0.3
120501,OFP,37.094696,-121.609535,0.0
120801,"135 Calera Canyon Rd, Corral de Tierra",36.5335,-121.7379,0.0
120831,Carina,36.562366,-121.81591,0.3
120835,MalAeolus,37.1556,-121.99139,2.3
120897,K6GSJ Mt. Umunhum,37.160103,-121.9079,0.0
120931,Paradise Park,37.00219,-122.038124,0.2
120967,Lower Valencia Rd,36.97983,-121.891335,1.1
121121,Rogers St,37.218723,-121.97814,1.4
121451,Sandy Sea Turtle Landing West - Outside,37.278805,-121.916626,1.3
121663,Kalkar Quarry,36.98214,-122.048676,1.3
123799,Hazel Ave.,37.27532,-121.96721,5.7
124645,SYM1122P,36.92189,-121.75982,4.9
126061,Worcester Park,37.222622,-121.96718,0.0
126251,Terra Mia Mission Ranch outside,37.15567,-121.64027,0.4
126331,East of West Valley College,37.262287,-122.00318,1.1
126469,Oneda Ct,37.157864,-121.98156,0.2
127271,Pleasure Point,36.961956,-121.96836,0.0
128217,MG,37.058117,-121.9571,0.6
128249,Creek Dr.,37.171894,-122.14442,0.0
129359,Rosswood Dr-r2,37.244698,-121.93598,1.3
131819,Upper Dry Creek Rd,36.59029,-121.91659,0.9
134408,High Meadows,36.565357,-121.905685,0.0
134888,Eighth St,36.660965,-121.80852,2.5
135134,Fieldcrest,36.603237,-121.64552,2.0
138002,IBM Research - Almaden,37.21128,-121.80638,10.3
141830,Winzer Place,36.994026,-121.59421,0.0
142964,Beegum,37.249977,-121.81632,6.1
144738,Chester St.,37.229755,-121.97713,0.4
148013,Pinnacles NP- East Entrance,36.484753,-121.157265,1.2
150354,Outside,37.26881,-121.877,4.7
150824,Burl Road,37.032932,-122.00651,3.7
151530,McMahon Road Ranch,36.91161,-121.3512,3.0
152666,Mojodojocasahouse,37.270313,-121.999435,0.0
152962,Skyote Mountain,37.092022,-121.997284,4.2
155205,San Jose Felder Drive,37.22862,-121.80887,4.1
155523,keck park,36.13851,-120.36951,0.0
156099,Serramonte Drive - Los Gatos,37.238945,-122.0025,4.2
156279,Juniper Court,36.695824,-121.80144,0.0
156431,Mill Site Rd,37.058247,-122.019356,4.3
156747,willowgate,37.265,-121.89521,4.2
157139,SCWS,37.005974,-122.07281,2.0
159603,Day Valley,37.000256,-121.84941,4.0
163039,ucm-431d,36.604824,-121.9192,10.0
163037,ucm-7e1f,36.21948,-121.13123,11.8
163041,ucm-f94b,36.67722,-121.62704,3.5
163045,ucm-54f,36.472797,-120.393524,2.5
163049,ucm-65cc,36.577785,-121.7175,3.8
163071,ucm-9742,36.42808,-121.33121,4.4
163069,ucm-8b62,36.71268,-121.61996,5.9
163073,ucm-49a1,36.849644,-120.448746,1.1
163079,ucm-2a64,36.50837,-121.44398,3.9
163085,ucm-653B,36.72671,-121.65586,6.0
163133,UCM-A7C0,36.254154,-120.23114,1.4
163149,ucm-C045,36.67938,-121.62715,7.4
163201,ucm-8ba3,36.650852,-121.79771,4.5
165015,Upper Laurel Outside,36.48942,-121.73458,2.0
165567,Co-located LBUSD,37.052753,-120.84012,1.8
171531,Surrey Farms,37.22585,-121.95488,4.4
171975,VVDDC,36.588055,-121.905106,4.6
173555,Surmont Hill,37.23103,-121.92223,6.1
184713,Skyview,37.126644,-121.95656,1.8
187941,8133 Hihn,37.06981,-122.07168,3.6
190467,DePaul,37.081844,-121.55609,3.1
192599,Foxview,37.13955,-121.592575,3.2
193527,Gateway School (new),36.953396,-122.04876,6.7
193959,Lakeside,37.193832,-122.018585,2.8
193987,Shepherds Knoll Road Bldg 2,36.581867,-121.91297,2.8
193989,Rancho Prieta,37.106766,-121.88154,1.4
194059,Venado Court,37.2493,-121.81083,3.1
195483,Calle Hermosa,37.13862,-121.653336,0.6
195607,Westdale NW,37.06168,-122.145004,4.2
195856,Valley View Park,36.823673,-121.37095,3.6
195861,Santa Cruz California St,36.966747,-122.034424,5.2
196054,ShadowBrook Swim Club,37.213215,-121.849594,6.0
196279,Chartwell School,36.63665,-121.80296,4.0
196427,Outside the pain cave,36.973625,-122.035675,4.9
196433,Del Mesa Carmel,36.542767,-121.87376,3.1
196445,ConcordCourtMarina,36.67211,-121.79088,4.0
196709,MANZANITA DR,37.156258,-121.605156,4.1
196803,Ohlone,36.46592,-121.79565,0.7
197591,Bear Creek Road,37.170845,-122.05572,2.1
198215,Almaden Country Day School Garden,37.21873,-121.851395,0.8
198223,Walnut + King,36.973297,-122.03977,6.1
198555,GH,37.25629,-122.01982,6.2
198799,Nord-ln,37.27586,-121.90443,2.0
198861,Spruce St,36.9795,-121.91929,7.4
199049,Brookside,37.21842,-121.908424,5.5
200475,Cresthills II,37.04528,-120.84466,3.0
201999,Three Horse Farm,36.95198,-121.45964,2.3
203541,Newgate/Vitero,37.27466,-121.75329,1.1
203975,Camden85,37.249046,-121.912125,0.0
204729,Ruthies,36.925156,-121.77223,4.1
209511,Keller Drive,37.13154,-122.109795,2.0
211271,Smaug,37.155495,-121.99123,2.2
219125,Football stadium,36.83766,-121.404106,6.2
221453,Kings Creek/Blue Ridge Air quality,37.153275,-122.13205,6.4
224235,Redmond Avenue,37.228577,-121.86504,4.8
224985,500 Westridge,36.91058,-121.78283,3.7
227349,Old Fir,37.273857,-122.184685,4.4
227475,Foothill Park,37.235657,-121.85062,3.1
231181,4575 Paul Sweet,37.018036,-121.98132,0.0
233659,Crocker,36.628696,-121.933205,5.5
237037,New Idria,36.417637,-120.67252,0.6
237281,13th Street Central,36.62062,-121.91505,5.9
238567,CCA1,36.76182,-121.74768,4.1
238583,Holand,36.93943,-121.76765,5.0
238585,CCA10,36.680626,-121.626656,27.0
238599,CCA7,36.778805,-121.66431,2.1
238609,CCA8,36.76238,-121.7468,7.6
238631,Aguilar Home,36.92286,-121.769875,0.8
243529,huckleberry,37.130642,-122.11917,2.9
244763,ken630,37.225407,-121.9612,6.0
247807,MadocMiddle,37.28245,-121.98234,5.1
249427,Gold Gulch Rd,37.031773,-122.094,5.6
250327,Tabor Dr,37.072155,-121.99598,3.9
250345,Holiday Drive HLE,37.15393,-121.60309,5.3
256291,Terrace Grove,37.104416,-121.950966,4.3
257653,180 Eleana Dr,37.074657,-122.07453,3.2
257689,St Andrews Dr,36.964336,-121.88147,5.6
258525,Banana belt,36.987244,-122.01285,5.6
