sensor_index,name,latitude,longitude,episode_number,onset_time_utc,peak_time_utc,end_time_utc,duration_hours,hours_flagged,peak_pm25_atm,mean_pm25_atm,event_integrated_excess,baseline_median,robust_mad,event_threshold,baseline_source,event_rank,is_primary_event,hours_after_fire_start
23095,Luigi Aprea outside,37.026367,-121.60415,2,2025-01-17 17:00:00+00:00,2025-01-17 19:00:00+00:00,2025-01-17 20:00:00+00:00,4.0,4,29.3,26.6,84.2,5.55,3.7806299999999995,20.0,pre_fire_window,2,False,17.416666666666668
23095,Luigi Aprea outside,37.026367,-121.60415,3,2025-01-18 02:00:00+00:00,2025-01-18 09:00:00+00:00,2025-01-18 20:00:00+00:00,19.0,19,30.1,24.652631578947368,362.95,5.55,3.7806299999999995,20.0,pre_fire_window,3,False,31.416666666666668
23095,Luigi Aprea outside,37.026367,-121.60415,4,2025-01-19 03:00:00+00:00,2025-01-19 04:00:00+00:00,2025-01-19 15:00:00+00:00,13.0,11,25.7,21.981818181818184,180.75000000000003,5.55,3.7806299999999995,20.0,pre_fire_window,4,False,50.416666666666664
23095,Luigi Aprea outside,37.026367,-121.60415,5,2025-01-19 18:00:00+00:00,2025-01-20 02:00:00+00:00,2025-01-20 18:00:00+00:00,25.0,25,42.3,33.879999999999995,708.25,5.55,3.7806299999999995,20.0,pre_fire_window,5,False,72.41666666666667
23095,Luigi Aprea outside,37.026367,-121.60415,6,2025-01-24 23:00:00+00:00,2025-01-24 23:00:00+00:00,2025-01-24 23:00:00+00:00,1.0,1,23.9,23.9,18.349999999999998,5.55,3.7806299999999995,20.0,pre_fire_window,6,False,189.41666666666666
29349,Front Porch Aromas,36.905457,-121.65945,1,2025-01-18 08:00:00+00:00,2025-01-18 11:00:00+00:00,2025-01-18 20:00:00+00:00,13.0,13,26.4,24.153846153846157,263.3,3.9,2.00151,20.0,pre_fire_window,1,True,33.416666666666664
29349,Front Porch Aromas,36.905457,-121.65945,2,2025-01-19 20:00:00+00:00,2025-01-19 21:00:00+00:00,2025-01-19 21:00:00+00:00,2.0,2,25.8,23.700000000000003,39.60000000000001,3.9,2.00151,20.0,pre_fire_window,2,False,67.41666666666667
29349,Front Porch Aromas,36.905457,-121.65945,3,2025-01-20 04:00:00+00:00,2025-01-20 06:00:00+00:00,2025-01-20 18:00:00+00:00,15.0,15,33.6,28.4,367.50000000000006,3.9,2.00151,20.0,pre_fire_window,3,False,76.41666666666667
33673,Fairhaven,36.5681,-121.96127,1,2025-01-17 11:00:00+00:00,2025-01-17 11:00:00+00:00,2025-01-17 11:00:00+00:00,1.0,1,21.1,21.1,14.8,6.3,3.63237,20.0,pre_fire_window,1,True,9.416666666666666
33673,Fairhaven,36.5681,-121.96127,2,2025-01-18 11:00:00+00:00,2025-01-18 12:00:00+00:00,2025-01-18 13:00:00+00:00,3.0,3,31.0,27.766666666666666,64.39999999999999,6.3,3.63237,20.0,pre_fire_window,2,False,34.416666666666664
33673,Fairhaven,36.5681,-121.96127,3,2025-01-18 21:00:00+00:00,2025-01-18 21:00:00+00:00,2025-01-18 22:00:00+00:00,2.0,2,24.4,22.95,33.3,6.3,3.63237,20.0,pre_fire_window,3,False,43.416666666666664
33673,Fairhaven,36.5681,-121.96127,4,2025-01-19 04:00:00+00:00,2025-01-19 04:00:00+00:00,2025-01-19 06:00:00+00:00,3.0,3,21.8,21.233333333333334,44.8,6.3,3.63237,20.0,pre_fire_window,4,False,50.416666666666664
33673,Fairhaven,36.5681,-121.96127,5,2025-01-19 16:00:00+00:00,2025-01-19 20:00:00+00:00,2025-01-19 21:00:00+00:00,6.0,6,30.0,26.516666666666666,121.3,6.3,3.63237,20.0,pre_fire_window,5,False,66.41666666666667
33673,Fairhaven,36.5681,-121.96127,6,2025-01-20 08:00:00+00:00,2025-01-20 10:00:00+00:00,2025-01-20 13:00:00+00:00,6.0,6,35.4,28.849999999999998,135.29999999999998,6.3,3.63237,20.0,pre_fire_window,6,False,80.41666666666667
33673,Fairhaven,36.5681,-121.96127,7,2025-01-21 17:00:00+00:00,2025-01-21 17:00:00+00:00,2025-01-21 17:00:00+00:00,1.0,1,29.1,29.1,22.8,6.3,3.63237,20.0,pre_fire_window,7,False,111.41666666666667
34125,PG-Lighthouse,36.617977,-121.90805,1,2025-01-17 07:00:00+00:00,2025-01-17 16:00:00+00:00,2025-01-17 18:00:00+00:00,12.0,11,25.2,22.863636363636363,193.75,5.25,2.8169399999999998,20.0,pre_fire_window,1,True,14.416666666666666
34125,PG-Lighthouse,36.617977,-121.90805,2,2025-01-18 10:00:00+00:00,2025-01-18 12:00:00+00:00,2025-01-18 13:00:00+00:00,4.0,4,29.5,27.125,87.5,5.25,2.8169399999999998,20.0,pre_fire_window,2,False,34.416666666666664
34125,PG-Lighthouse,36.617977,-121.90805,3,2025-01-18 21:00:00+00:00,2025-01-18 21:00:00+00:00,2025-01-18 21:00:00+00:00,1.0,1,24.3,24.3,19.05,5.25,2.8169399999999998,20.0,pre_fire_window,3,False,43.416666666666664
34125,PG-Lighthouse,36.617977,-121.90805,4,2025-01-19 01:00:00+00:00,2025-01-19 02:00:00+00:00,2025-01-19 11:00:00+00:00,11.0,10,43.6,28.98,237.3,5.25,2.8169399999999998,20.0,pre_fire_window,4,False,48.416666666666664
