window_index,window_start_utc,window_stop_utc,window_start_local,window_stop_local,sensor_index,name,latitude,longitude,baseline_pm25,baseline_ok,n_hours,pm25_mean,pm25_max,enhancement_mean,enhancement_pos_mean,enhancement_pos_max,humidity_mean,window_label_utc,window_label_local
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,63507,Granite Creek Rd,37.036686,-121.99748,1.9,True,3,4.433333333333334,5.5,2.5333333333333337,2.5333333333333337,3.6,67.33333333333333,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,63873,Capitola Mall/Live Oak,36.970737,-121.9691,6.25,True,3,6.933333333333334,7.7,0.6833333333333332,0.8333333333333334,1.4500000000000002,24.0,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,63933,Colton out,36.591637,-121.90228,3.85,True,3,19.3,29.8,15.450000000000001,15.450000000000001,25.950000000000003,38.0,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,64315,Darwin's House,37.141586,-121.97135,1.0,True,3,1.1333333333333333,1.2,0.13333333333333328,0.13333333333333328,0.1999999999999999,29.666666666666668,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,64447,Hawthorne and Drake,36.611008,-121.9008,4.35,True,3,6.933333333333334,7.4,2.583333333333334,2.583333333333334,3.0500000000000007,35.0,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,64711,Stance Ave,36.993504,-121.94746,3.6,True,3,13.0,24.7,9.4,9.4,21.1,25.0,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,65421,Brackney,37.067093,-122.0805,26.0,True,3,14.0,30.7,-12.0,1.5666666666666664,4.699999999999999,46.0,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,65657,Pleasure Point,36.958485,-121.97253,6.1,True,3,7.366666666666667,8.1,1.2666666666666668,1.2666666666666668,2.0,59.666666666666664,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,65695,Western Court,36.96797,-122.05804,3.9,True,3,16.266666666666666,29.4,12.366666666666667,12.366666666666667,25.5,32.333333333333336,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,65947,Sunny Cove,36.961082,-121.98862,4.4,True,3,5.7,6.4,1.2999999999999998,1.2999999999999998,2.0,27.666666666666668,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
