sensor_index,count,min,median,max,mean,std,gt250_frac,gt500_frac,gt1000_frac,name,latitude,longitude,remove_reason
82905,264,0.0,13.4,56.8,18.881060606060608,14.938709421332893,0.0,0.0,0.0,Cresta Vista,37.139587,-122.12675,
83017,120,0.3,6.1,37.5,8.941666666666666,8.070119003353748,0.0,0.0,0.0,Outside La Lena St,37.108776,-122.04694,
83259,149,0.0,7.9,43.2,10.845637583892618,8.882281810720956,0.0,0.0,0.0,Outside-Tinkers,37.114655,-122.10561,
83931,264,0.0,4.15,29.6,6.538636363636364,6.389929669037885,0.0,0.0,0.0,Carmel Highlands,36.487633,-121.935036,
83999,259,0.1,12.9,95.4,15.964092664092663,12.103884324600848,0.0,0.0,0.0,Brookdale,37.104656,-122.111984,
84007,264,0.0,3.7,33.7,6.141666666666667,6.9099150855294065,0.0,0.0,0.0,AHMF,37.111412,-121.99222,
84061,264,0.1,4.2,40.6,7.63219696969697,8.023107389857895,0.0,0.0,0.0,Outlook Drive - Carmel,36.56402,-121.900856,
84119,138,0.0,2.1,86.4,3.4347826086956523,7.696502686417455,0.0,0.0,0.0,Sleeper Gulch,37.20419,-122.10903,
84123,264,0.1,3.25,36.3,6.27310606060606,7.136043320361585,0.0,0.0,0.0,Upper Pine Hills Drive,36.561016,-121.89387,
84215,264,0.1,2.4,31.8,4.505303030303031,5.467266079761524,0.0,0.0,0.0,Schulties Rd,37.118244,-121.96298,
84249,264,0.0,4.4,24.5,7.072727272727273,6.273289273831531,0.0,0.0,0.0,Huntington Ct,36.981586,-121.870636,
84331,101,1168.0,1857.8,2183.3,1872.5891089108911,214.93473051184174,1.0,1.0,1.0,Light Springs Road,37.006554,-121.83728,stuck_high
84581,264,1.2,8.4,38.6,10.731060606060606,7.058766171182527,0.0,0.0,0.0,car wash,36.98461,-121.98995,
85101,264,0.2,5.1,18.3,5.703030303030303,3.609059985129721,0.0,0.0,0.0,Trescony Backyard,36.968403,-122.040886,
85249,264,1665.6,1666.6,1799.8,1674.501893939394,23.941751959571558,1.0,1.0,1.0,Cloud9,37.227673,-122.15078,stuck_high
85575,264,0.0,1.9,12.1,2.554924242424242,2.204104017271824,0.0,0.0,0.0,Sunrise,37.09469,-122.114235,
85723,264,0.0,2.3,18.5,4.296590909090909,4.622052830109982,0.0,0.0,0.0,Ryder Road,37.075024,-122.041916,
87653,264,16.1,22.2,69.4,24.639772727272724,7.52948384315608,0.0,0.0,0.0,Amity Ranch,36.552326,-121.11999,
90443,264,0.1,3.55,35.0,6.315909090909091,7.170544199248555,0.0,0.0,0.0,Bohnen Road,37.070023,-121.95988,
92225,264,0.3,5.5,31.4,9.193939393939393,8.025224089365102,0.0,0.0,0.0,Aptos Hills,36.94754,-121.83052,
93521,264,0.4,5.45,37.8,8.88219696969697,8.208779109621668,0.0,0.0,0.0,Marc's weather station,36.596676,-121.909584,
96241,264,1.0,6.0,36.8,9.541287878787879,7.889368107367072,0.0,0.0,0.0,East Garrison,36.65262,-121.73911,
96633,264,0.1,3.8,30.6,6.57159090909091,7.113318769973901,0.0,0.0,0.0,Chalone Vineyard,36.470284,-121.229744,
96829,264,0.0,5.45,40.0,9.089772727272727,9.117088452422264,0.0,0.0,0.0,BDUESD,37.062332,-122.14793,
97265,222,0.0,3.75,23.5,5.177027027027027,5.050475018131313,0.0,0.0,0.0,Post Ranch Sierra Mar South,36.22973,-121.77173,
98167,264,0.0,0.7,25.6,3.004166666666667,4.871491295260333,0.0,0.0,0.0,Skyline Goat Trail,37.179832,-122.02993,
98209,264,0.7,9.75,43.2,13.299242424242424,10.509126912989794,0.0,0.0,0.0,Weather_Rock,36.779118,-121.72451,
102596,264,0.1,1.5,15.2,3.163257575757576,3.5905418628340318,0.0,0.0,0.0,Olive Springs Near Quarry,37.058266,-121.92316,
103870,264,0.0,3.9499999999999997,170.6,9.592424242424244,18.13455253436421,0.0,0.0,0.0,Upper Zayante,37.161026,-122.013176,
104680,264,1.9,12.25,42.1,14.32878787878788,8.371025806308957,0.0,0.0,0.0,Westside Lighthouse,36.954346,-122.032135,
108636,264,0.0,2.0,137.8,4.2303030303030305,10.93030767011326,0.0,0.0,0.0,Outside,37.232243,-122.14726,
109182,264,0.0,1.8,37.6,4.651515151515151,6.990786819606504,0.0,0.0,0.0,Cloud's Rest,37.150047,-122.00445,
109416,264,0.4,8.05,40.7,9.378787878787879,6.392147396224658,0.0,0.0,0.0,Carbonera,36.997307,-122.0149,
109528,264,0.0,3.2,51.2,6.053030303030303,7.299236268126792,0.0,0.0,0.0,Hester Creek,37.088043,-121.94188,
109856,264,0.1,4.6,31.2,8.116287878787878,8.523088740654373,0.0,0.0,0.0,Moongoat,37.0232,-121.9364,
110666,264,0.4,17.75,54.2,19.02310606060606,11.521173936315591,0.0,0.0,0.0,Blackstone Drive (outside),37.127342,-122.12728,
113220,264,0.1,4.3,36.5,6.989015151515151,7.702909959234481,0.0,0.0,0.0,Spanish Ranch,37.10412,-121.89996,
113622,264,0.0,0.0,15.3,1.9136363636363636,3.5558610691802115,0.0,0.0,0.0,22546 Summit,37.142136,-121.97597,
116111,264,1572.9,1663.75,1677.2,1654.3367424242424,22.98653379950777,1.0,1.0,1.0,Lupine Lane,36.995827,-121.98386,stuck_high
118477,261,1554.9,1663.3,1678.0,1647.1233716475097,29.91766055699636,1.0,1.0,1.0,Hawk Ridge Lane,36.994827,-121.757904,stuck_high
118953,264,0.0,4.1,23.1,5.159848484848485,5.255673882742989,0.0,0.0,0.0,Lupine Dr,37.054375,-122.02428,
120179,264,0.0,4.2,39.3,7.424621212121211,8.783996414609225,0.0,0.0,0.0,Comstock Estates,36.929104,-121.356514,
120313,264,0.0,0.8,47.6,4.8522727272727275,7.619920520019922,0.0,0.0,0.0,1943 Redwood Dr,37.003704,-121.90143,
120801,264,1432.7,1551.5,1677.6,1566.1329545454544,82.06129359245055,1.0,1.0,1.0,"135 Calera Canyon Rd, Corral de Tierra",36.5335,-121.7379,stuck_high
120831,264,0.0,0.3,31.4,4.218939393939394,6.966722995001926,0.0,0.0,0.0,Carina,36.562366,-121.81591,
120931,264,0.0,9.7,31.4,10.495075757575757,7.331499724283346,0.0,0.0,0.0,Paradise Park,37.00219,-122.038124,
120967,264,0.0,4.9,31.3,7.630303030303031,7.580231839246135,0.0,0.0,0.0,Lower Valencia Rd,36.97983,-121.891335,
121663,264,0.0,0.3,19.2,3.378409090909091,5.042053919341246,0.0,0.0,0.0,Kalkar Quarry,36.98214,-122.048676,
124645,264,0.8,13.3,52.6,15.376515151515152,10.462246884053512,0.0,0.0,0.0,SYM1122P,36.92189,-121.75982,
127271,202,0.0,4.3,44.6,8.672277227722772,9.455989902553318,0.0,0.0,0.0,Pleasure Point,36.961956,-121.96836,
128217,264,0.0,0.3,27.8,3.8587121212121214,6.3951561880584595,0.0,0.0,0.0,MG,37.058117,-121.9571,
128249,264,0.0,5.85,35.7,8.228030303030302,7.4699836801419925,0.0,0.0,0.0,Creek Dr.,37.171894,-122.14442,
131819,264,0.0,1.55,39.5,6.765151515151516,9.420376626995676,0.0,0.0,0.0,Upper Dry Creek Rd,36.59029,-121.91659,
134408,174,1605.5,1664.6,1678.8,1663.9839080459772,9.796936805250006,1.0,1.0,1.0,High Meadows,36.565357,-121.905685,stuck_high
134888,264,0.1,2.6,8.4,2.921590909090909,1.7959681628286808,0.0,0.0,0.0,Eighth St,36.660965,-121.80852,
135134,264,1565.1,1664.2,1676.8,1654.969696969697,20.803401445314073,1.0,1.0,1.0,Fieldcrest,36.603237,-121.64552,stuck_high
150824,264,0.0,3.3,53.1,5.670075757575758,6.112871665120985,0.0,0.0,0.0,Burl Road,37.032932,-122.00651,
151530,264,0.5,13.05,55.2,14.39280303030303,11.212200769944413,0.0,0.0,0.0,McMahon Road Ranch,36.91161,-121.3512,
152962,238,0.0,3.1,32.7,5.88781512605042,7.044156887877787,0.0,0.0,0.0,Skyote Mountain,37.092022,-121.997284,
156279,262,1.3,10.75,44.8,13.543893129770993,9.528446064407781,0.0,0.0,0.0,Juniper Court,36.695824,-121.80144,
156431,264,0.9,7.7,26.6,8.935984848484848,5.838084007780193,0.0,0.0,0.0,Mill Site Rd,37.058247,-122.019356,
157139,264,0.0,3.2,23.1,5.596590909090909,5.64231262479869,0.0,0.0,0.0,SCWS,37.005974,-122.07281,
159603,264,0.2,6.3,63.4,10.09128787878788,9.151697875283078,0.0,0.0,0.0,Day Valley,37.000256,-121.84941,
163037,264,0.7,11.55,1643.3,31.87348484848485,146.88502596660047,0.015151515151515152,0.015151515151515152,0.007575757575757576,ucm-7e1f,36.21948,-121.13123,
163039,264,1.7,8.8,39.0,12.758333333333333,9.137584122704045,0.0,0.0,0.0,ucm-431d,36.604824,-121.9192,
163041,263,1.0,11.2,66.0,14.24448669201521,11.057695587289338,0.0,0.0,0.0,ucm-f94b,36.67722,-121.62704,
163049,264,0.8,8.8,34.3,10.138636363636364,6.667327381131797,0.0,0.0,0.0,ucm-65cc,36.577785,-121.7175,
163069,264,0.9,8.75,71.3,12.11590909090909,9.22235941822115,0.0,0.0,0.0,ucm-8b62,36.71268,-121.61996,
163071,264,0.8,9.0,29.8,11.400757575757577,7.638873926251115,0.0,0.0,0.0,ucm-9742,36.42808,-121.33121,
163085,264,0.9,8.25,41.4,11.181060606060607,8.453767199268668,0.0,0.0,0.0,ucm-653B,36.72671,-121.65586,
163149,264,1.0,11.649999999999999,49.3,15.134848484848485,10.571724860063272,0.0,0.0,0.0,ucm-C045,36.67938,-121.62715,
163201,264,0.8,3.3,18.6,5.141666666666667,3.9042541225547067,0.0,0.0,0.0,ucm-8ba3,36.650852,-121.79771,
165015,233,0.0,1.9,24.3,3.5665236051502145,4.909016547745099,0.0,0.0,0.0,Upper Laurel Outside,36.48942,-121.73458,
171975,264,0.4,6.95,64.5,10.061742424242425,8.842608478784294,0.0,0.0,0.0,VVDDC,36.588055,-121.905106,
184713,264,0.0,2.3,41.3,6.24280303030303,8.576603226897335,0.0,0.0,0.0,Skyview,37.126644,-121.95656,
187941,264,0.1,14.5,43.8,15.622727272727271,9.397120268453824,0.0,0.0,0.0,8133 Hihn,37.06981,-122.07168,
193527,264,1.3,12.55,40.8,14.322348484848485,8.454867463021523,0.0,0.0,0.0,Gateway School (new),36.953396,-122.04876,
193987,264,0.2,6.65,51.8,12.206818181818182,10.979602195082197,0.0,0.0,0.0,Shepherds Knoll Road Bldg 2,36.581867,-121.91297,
193989,264,0.0,0.4,16.5,1.3393939393939396,2.1258952961049498,0.0,0.0,0.0,Rancho Prieta,37.106766,-121.88154,
195607,264,0.0,8.75,75.8,12.543939393939393,12.016957331605242,0.0,0.0,0.0,Westdale NW,37.06168,-122.145004,
195856,263,1.0,7.1,54.1,12.156273764258556,12.132611272565331,0.0,0.0,0.0,Valley View Park,36.823673,-121.37095,
